Name,Status: p3,Status: p4/p42
01-ams3,¡Ì,¡Ì¡ð
01-amt2,¡Á,¡Á
01-arn2,¡Á,¡ð
01-atl3,¡Á,¡ð
01-bog1,¡ð,¡ð
01-bom1,¡Ì,¡Ì
01-bru2,¡ð,¡ð
01-cai1,¡Ì,¡Ì
01-cdg2,¡ð,¡ð
01-cdt1,¡ð,¡ð
01-dft4,¡Á,¡ð
02-dft4,¡Á,¡ð
03-dft4,¡ð,¡ð
01-dub4,¡Ì¡ð,¡Ì¡ð
01-eze1,¡ð,¡ð
01-frt3,¡Ì,¡Ì
02-frt3,¡Á,¡Ì
01-gig2,¡ð,¡ð
01-gru2,¡Á,¡ð
02-gru2,¡ð,¡ð
01-hkg3,¡Á,¡ð
02-hkg3,¡Á,¡ð
01-iad3,¡Á,¡ð
01-icn1,¡Á,¡ð
01-kut2,¡ð,¡ð
01-lax3,¡Á,¡Ì¡ð
02-lax3,¡Á,¡Ì¡ð
01-lga3,¡Á,¡Ì
01-lhr3,¡Á,¡ð
01-lht6,¡Á,¡ð
01-mad1,¡ð,¡ð
01-mia3,¡Ì¡ð,¡Ì¡ð
02-mia3,¡Á,¡ð
01-mrs1,¡Á,¡Ì
01-mxp1,¡ð,¡ð
01-nrt1,¡Á,¡Ì¡ð
01-ort2,¡Á,¡Ì¡ð
02-ort2,¡ð,¡ð
01-sea1,¡Á,¡Ì¡ð
01-sin6,¡Á,¡ð
02-sin6,¡Á,¡ð
01-sit4,¡Á,¡ð
01-sjc3,¡Ì¡ð,¡Ì¡ð
01-sof1,¡ð,¡ð
01-syd2,¡Á,¡ð
01-tpe1,¡ð,¡ð
01-vie1,¡ð,¡ð
01-waw1,¡ð,¡ð
01-yyz1,¡ð,¡ð
