Name,Status: p3,Status: p4/p42,Status: live-upload
01-ams3,√○,√○,×
01-amt2,×,×,×
01-arn2,×,○,√
01-atl3,×,○,×
01-bog1,○,○,√
01-bom1,√,√,√
01-bru2,○,○,√
01-cai1,√,√,×
01-cdg2,○,○,×
01-cdt1,○,○,√
01-dft4,×,○,√
02-dft4,×,○,×
03-dft4,○,○,√
01-dub4,√○,√○,×
01-eze1,○,○,√
01-frt3,√,√,×
02-frt3,×,√,√
01-frx5,×,√,√
01-gig2,○,○,×
01-gru2,×,○,×
02-gru2,○,○,√
01-hkg3,×,○,√
02-hkg3,×,○,√
01-iad3,×,○,×
01-icn1,×,○,×
01-jnb1,×,○,√
01-kut2,○,○,√
01-lax3,×,√○,×
02-lax3,×,√○,√
01-lga3,×,√,×
01-lhr3,×,○,×
01-lht6,×,○,√
01-mad1,○,○,×
01-mia3,√○,√○,×
02-mia3,×,○,√
01-mrs1,×,√,×
01-mxp1,○,○,×
01-nrt1,×,√○,√
01-ort2,×,√○,√
02-ort2,○,○,√
01-otp1,○,○,√
01-scl1,○,○,×
01-sea1,×,√○,×
01-sin6,×,○,×
02-sin6,×,○,√
01-sit4,×,○,√
01-sjc3,√○,√○,√
01-sof1,○,○,√
01-syd2,×,○,√
01-tpe1,○,○,×
01-vie1,○,○,×
01-waw1,○,○,×
01-yyz1,○,○,×
